"","Step","Df","Deviance","Resid. Df","Resid. Dev","AIC"
"1","",NA,NA,10335,8937.26417289917,-1486.3756380206
"2","- X.key.",1,1.08846806437396,10336,8938.35264096355,-1487.11482447758
