"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
1.69660909305299,1.58492202134717,1.27422253488875,1.15248939921968,1.14052499824573,1.069410540135,1.03669154754789,1.01891101367889,0.983235013239439,0.93072970503793,0.905912647628165,0.87981904194316,0.869030551623616,0.815880083302784,0.763743974695955,0.715948553519815,0.651203941642374,0.594292563549164,0.450551550868907,0.418978546839773
0.14392,0.1256,0.08118,0.06641,0.06504,0.05718,0.05374,0.05191,0.04834,0.04331,0.04103,0.0387,0.03776,0.03328,0.02917,0.02563,0.0212,0.01766,0.01015,0.00878
0.14392,0.26952,0.35071,0.41712,0.48216,0.53934,0.59308,0.64498,0.69332,0.73663,0.77767,0.81637,0.85413,0.88742,0.91658,0.94221,0.96341,0.98107,0.99122,1
