"","Step","Df","Deviance","Resid. Df","Resid. Dev","AIC"
"1","",NA,NA,770,477.272736488106,-359.610295155172
"2","- X.duration_ms.",1,0.12689465780312,771,477.399631145909,-361.401079722392
"3","- X.key.",1,0.297838280935252,772,477.697469426844,-362.91024222628
"4","- X.mode.",1,0.529299161837571,773,478.226768588682,-364.038711897054
"5","- Country",1,0.543872508414381,774,478.770641097096,-365.144189705308
"6","- X.tempo.",1,1.05258901987366,775,479.82323011697,-365.41585006857
