"","Step","Df","Deviance","Resid. Df","Resid. Dev","AIC"
"1","",NA,NA,92,8.79876587736931,-227.055871554668
"2","- Divergence:Time",1,0.0112631226170503,93,8.81002899998636,-228.927945433301
"3","- Divergence",1,0.000962887169334792,94,8.8109918871557,-230.917016586709
"4","- Richness:Time",1,0.109148259606457,95,8.92014014676215,-231.685852799918
