"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",9.73466660036284,0.0308308945900082,315.743890335173,2.49769916260854e-145
"Richness",0.122640518178095,0.0309000552421174,3.96894171279454,0.000140198613070433
"Evenness",-0.0490098142518594,0.0315028007253872,-1.55572879627695,0.123097853227717
"Time",0.0836009240157191,0.0309492004225909,2.70123049623911,0.00818141995884383
"Evenness:Time",0.0625814056955063,0.0421417843897481,1.48502030945635,0.140849226121151
