"","Step","Df","Deviance","Resid. Df","Resid. Dev","AIC"
"1","",NA,NA,83,5.69450599692648,-252.566833614786
"2","- R.B",1,0.0103057029603546,84,5.70481169988683,-254.386020937357
"3","- Trap",1,0.0128009359687118,85,5.71761263585554,-256.161883907398
"4","- X.duration_ms.",1,0.0276248296680777,86,5.74523746552362,-257.679894124681
"5","- X.energy.",1,0.0382229706411179,87,5.78346043616474,-259.016799107001
"6","- Pop",1,0.0699567666410674,88,5.8534172028058,-259.814455805431
"7","- X.key.",1,0.116552893810961,89,5.96997009661677,-259.842826753804
